1;1;1
2;1;2
3;1;3
4;1;4
5;1;5
6;1;6
7;1;7
8;1;8
9;1;9
10;1;10
11;1;11
12;1;12
13;1;13
14;1;14
15;1;15
16;1;16
17;1;17
18;1;18
19;1;19
20;1;20
21;1;21
22;1;22
23;1;23
24;1;24
25;1;25
26;1;26
27;1;27
28;1;28
29;1;29
30;1;30
31;1;31
32;2;1
33;2;2
34;2;3
35;2;4
36;2;5
37;2;6
38;2;7
39;2;8
40;2;9
41;2;10
42;2;11
43;2;12
44;2;13
45;2;14
46;2;15
47;2;16
48;2;17
49;2;18
50;2;19
51;2;20
52;2;21
53;2;22
54;2;23
55;2;24
56;2;25
57;2;26
58;2;27
59;2;28
60;2;29
61;3;1
62;3;2
63;3;3
64;3;4
65;3;5
66;3;6
67;3;7
68;3;8
69;3;9
70;3;10
71;3;11
72;3;12
73;3;13
74;3;14
75;3;15
76;3;16
77;3;17
78;3;18
79;3;19
80;3;20
81;3;21
82;3;22
83;3;23
84;3;24
85;3;25
86;3;26
87;3;27
88;3;28
89;3;29
90;3;30
91;3;31
92;4;1
93;4;2
94;4;3
95;4;4
96;4;5
97;4;6
98;4;7
99;4;8
100;4;9
101;4;10
102;4;11
103;4;12
104;4;13
105;4;14
106;4;15
107;4;16
108;4;17
109;4;18
110;4;19
111;4;20
112;4;21
113;4;22
114;4;23
115;4;24
116;4;25
117;4;26
118;4;27
119;4;28
120;4;29
121;4;30
122;5;1
123;5;2
124;5;3
125;5;4
126;5;5
127;5;6
128;5;7
129;5;8
130;5;9
131;5;10
132;5;11
133;5;12
134;5;13
135;5;14
136;5;15
137;5;16
138;5;17
139;5;18
140;5;19
141;5;20
142;5;21
143;5;22
144;5;23
145;5;24
146;5;25
147;5;26
148;5;27
149;5;28
150;5;29
151;5;30
152;5;31
153;6;1
154;6;2
155;6;3
156;6;4
157;6;5
158;6;6
159;6;7
160;6;8
161;6;9
162;6;10
163;6;11
164;6;12
165;6;13
166;6;14
167;6;15
168;6;16
169;6;17
170;6;18
171;6;19
172;6;20
173;6;21
174;6;22
175;6;23
176;6;24
177;6;25
178;6;26
179;6;27
180;6;28
181;6;29
182;6;30
183;7;1
184;7;2
185;7;3
186;7;4
187;7;5
188;7;6
189;7;7
190;7;8
191;7;9
192;7;10
193;7;11
194;7;12
195;7;13
196;7;14
197;7;15
198;7;16
199;7;17
200;7;18
201;7;19
202;7;20
203;7;21
204;7;22
205;7;23
206;7;24
207;7;25
208;7;26
209;7;27
210;7;28
211;7;29
212;7;30
213;7;31
214;8;1
215;8;2
216;8;3
217;8;4
218;8;5
219;8;6
220;8;7
221;8;8
222;8;9
223;8;10
224;8;11
225;8;12
226;8;13
227;8;14
228;8;15
229;8;16
230;8;17
231;8;18
232;8;19
233;8;20
234;8;21
235;8;22
236;8;23
237;8;24
238;8;25
239;8;26
240;8;27
241;8;28
242;8;29
243;8;30
244;8;31
245;9;1
246;9;2
247;9;3
248;9;4
249;9;5
250;9;6
251;9;7
252;9;8
253;9;9
254;9;10
255;9;11
256;9;12
257;9;13
258;9;14
259;9;15
260;9;16
261;9;17
262;9;18
263;9;19
264;9;20
265;9;21
266;9;22
267;9;23
268;9;24
269;9;25
270;9;26
271;9;27
272;9;28
273;9;29
274;9;30
275;10;1
276;10;2
277;10;3
278;10;4
279;10;5
280;10;6
281;10;7
282;10;8
283;10;9
284;10;10
285;10;11
286;10;12
287;10;13
288;10;14
289;10;15
290;10;16
291;10;17
292;10;18
293;10;19
294;10;20
295;10;21
296;10;22
297;10;23
298;10;24
299;10;25
300;10;26
301;10;27
302;10;28
303;10;29
304;10;30
305;10;31
306;11;1
307;11;2
308;11;3
309;11;4
310;11;5
311;11;6
312;11;7
313;11;8
314;11;9
315;11;10
316;11;11
317;11;12
318;11;13
319;11;14
320;11;15
321;11;16
322;11;17
323;11;18
324;11;19
325;11;20
326;11;21
327;11;22
328;11;23
329;11;24
330;11;25
331;11;26
332;11;27
333;11;28
334;11;29
335;11;30
336;12;1
337;12;2
338;12;3
339;12;4
340;12;5
341;12;6
342;12;7
343;12;8
344;12;9
345;12;10
346;12;11
347;12;12
348;12;13
349;12;14
350;12;15
351;12;16
352;12;17
353;12;18
354;12;19
355;12;20
356;12;21
357;12;22
358;12;23
359;12;24
360;12;25
361;12;26
362;12;27
363;12;28
364;12;29
365;12;30
366;12;31
