1;164;28;334;2;1;38;2
2;16;97;31;39;2;31;2
3;125;4;327;9;2;5;2
4;131;19;246;21;1;22;3
5;146;90;166;45;3;32;1
6;21;13;104;29;1;11;1
7;286;52;171;39;2;35;1
8;270;82;292;6;3;40;1
9;234;24;152;5;3;7;2
10;59;12;327;4;3;42;1
11;133;46;61;27;3;18;1
12;148;18;314;40;3;18;1
13;77;17;8;30;2;15;3
14;198;8;301;31;3;46;1
15;52;45;101;12;2;39;2
16;152;48;261;28;2;45;1
17;38;34;191;16;2;18;3
18;100;3;300;40;3;36;1
19;141;75;306;16;3;22;1
20;243;7;249;43;1;6;3
21;268;92;300;6;3;10;2
22;8;98;299;12;3;35;1
23;114;53;81;14;3;27;2
24;167;44;38;33;3;26;3
25;183;85;292;41;1;13;1
26;101;18;255;47;1;13;3
27;147;17;8;27;3;50;1
28;137;21;179;9;3;18;3
29;102;20;137;3;1;42;2
30;231;39;291;23;1;20;1
31;286;32;157;8;2;6;2
32;299;43;10;41;2;11;3
33;23;20;218;3;3;42;1
34;286;74;208;42;3;28;3
35;279;46;177;4;1;16;2
36;295;61;236;32;1;16;3
37;145;85;119;43;1;20;3
38;11;63;60;41;1;47;2
39;32;96;346;46;1;49;3
40;66;37;340;2;2;19;1
41;46;42;104;28;1;9;3
42;203;64;332;29;2;37;3
43;2;10;228;11;2;23;1
44;74;42;198;46;2;34;2
45;88;5;207;23;3;41;3
46;55;53;337;5;2;29;3
47;46;35;145;7;3;45;1
48;126;45;352;16;3;7;1
49;12;34;296;26;2;47;3
50;207;64;130;4;2;12;1
51;126;97;113;33;1;27;2
52;236;4;260;39;2;12;2
53;230;70;260;3;3;29;1
54;147;38;355;9;2;46;1
55;24;74;165;16;1;37;1
56;153;71;130;11;2;29;2
57;36;65;201;15;1;41;1
58;254;57;24;16;1;8;2
59;102;28;183;37;1;7;3
60;240;73;354;17;1;17;1
61;202;63;316;19;1;44;2
62;281;88;354;14;3;7;2
63;137;48;48;26;1;22;2
64;185;22;309;12;1;33;3
65;106;73;185;7;3;10;1
66;224;56;214;39;2;27;1
67;208;75;256;45;3;5;3
68;188;82;230;41;3;12;2
69;37;59;255;28;1;17;3
70;17;20;272;1;2;30;2
71;194;24;324;28;2;19;2
72;33;80;65;14;2;45;3
73;154;32;287;36;1;49;2
74;257;33;111;38;3;23;2
75;241;25;73;33;3;27;2
76;254;48;290;5;2;14;1
77;291;9;313;31;3;15;3
78;247;1;105;21;3;31;2
79;93;44;192;41;1;8;3
80;63;34;245;24;1;40;2
81;65;99;146;24;2;23;1
82;207;61;176;36;1;22;1
83;89;59;56;37;3;39;2
84;274;6;248;10;1;29;1
85;292;100;241;45;1;35;2
86;190;69;108;16;2;49;1
87;78;100;339;21;1;11;3
88;54;63;303;30;3;19;1
89;236;43;143;25;3;25;2
90;17;52;294;42;3;21;2
91;106;74;169;27;2;15;3
92;103;94;12;7;1;12;2
93;248;1;48;26;3;44;3
94;97;55;97;24;2;48;2
95;177;45;216;20;3;37;1
96;9;78;14;4;2;48;3
97;268;55;92;31;2;29;2
98;113;11;196;33;2;46;3
99;79;30;168;47;1;30;2
100;151;100;221;30;2;13;3
101;290;89;120;8;2;49;1
102;81;4;66;5;3;34;1
103;45;32;354;33;2;23;2
104;249;24;116;20;1;39;2
105;16;42;243;8;3;31;3
106;15;91;80;28;1;25;1
107;84;32;155;29;1;35;2
108;273;65;239;41;2;23;3
109;61;56;358;6;3;8;2
110;162;18;271;47;3;29;2
111;93;87;236;47;1;20;1
112;167;31;40;24;3;47;1
113;268;92;206;13;2;31;3
114;270;52;340;27;1;25;2
115;243;39;326;47;2;8;1
116;42;39;206;28;2;19;3
117;51;95;169;2;2;46;2
118;33;90;52;12;2;32;3
119;10;6;112;6;1;49;2
120;156;25;65;5;2;35;2
121;80;36;178;24;1;39;3
